"Free Shipping Hint","Free Shipping Hint"
"General","General"
"Show hint","Show hint"
"Amount","Amount"
"Free shipping amount, used <span style=""font-weight:bold;"">for display only</span>! Please make sure you have a corresponding cart promotion rule set up.","Wert für kostenlosen Versand, wird <span style="">nur für den Hinweis verwendet</span>! Bitte stellen Sie sicher, dass eine entsprechende Warenkorbpreisregel eingerichtet ist."
"Min Value","Min Value"
"Do not show hint if cart total is below this value","Do not show hint if cart total is below this value"
"Below min. value msg","Below min. value msg"
"This message is displayed if the free shipping amount has not been reached.<br />The amount will be inserted at the ""%s"" string.","This message is displayed if the free shipping amount has not been reached.<br />The amount will be inserted at the ""%s"" string."
"Above min. value msg.","Above min. value msg."
"Displayed if the free shipping amount has been reached.","Displayed if the free shipping amount has been reached."
